time,mean,std,n_curves
0.5,-0.20503997802734364,0.252239110268846,2
1.0,-0.2076573371887206,0.2528466992369791,2
1.5,-0.211055278778076,0.25135503797448144,2
2.0,-0.2151179313659666,0.2511338513134963,2
2.5,-0.2186063136905434,0.2517530859827092,2
3.0,-0.2226649355143309,0.2529960070820072,2
3.5,-0.2264110427349808,0.2537196895443638,2
4.0,-0.22980945743620415,0.253896500842223,2
4.5,-0.23262589983642115,0.25298498568112177,2
5.0,-0.23526263236999517,0.2522502370368531,2
5.5,-0.2377079334110024,0.25232763182160955,2
6.0,-0.24087591841816886,0.25258721689576563,2
6.5,-0.24431343376636505,0.25299600444782916,2
7.0,-0.24830562993884076,0.25422239871415503,2
7.5,-0.25079391896724706,0.25306786482454025,2
8.0,-0.25275879353284847,0.2513497801551302,2
8.5,-0.25608687102794625,0.2511730268091872,2
9.0,-0.2595634981989859,0.250874700878715,2
9.5,-0.26729398593306525,0.24493612036147694,2
10.0,-0.2793018445372585,0.23419689789501488,2
10.5,-0.28805187344551103,0.22575575868538988,2
11.0,-0.2945519164204595,0.21936965766230662,2
11.5,-0.301790215075016,0.2128122823835873,2
12.0,-0.308977730572224,0.2064041490954459,2
12.5,-0.31478635221719753,0.20130522336259776,2
13.0,-0.3190168142318725,0.19679189647967252,2
13.5,-0.32091137021780003,0.19560420882534785,2
14.0,-0.32397780567407597,0.19222881524208035,2
14.5,-0.3257239237427715,0.18912967317737664,2
15.0,-0.328106723725796,0.1863344309638614,2
15.5,-0.3292668536305425,0.18561070635465632,2
16.0,-0.33233330398798,0.1821580365246446,2
16.5,-0.3344270586967465,0.1804455363126617,2
17.0,-0.3367356657981875,0.17870537723134416,2
17.5,-0.3392395749688145,0.17834627554531887,2
18.0,-0.3407044038176535,0.17964450384657568,2
18.5,-0.342548184096813,0.18020792291746907,2
19.0,-0.344145856797695,0.17982674681953695,2
19.5,-0.34581381082534746,0.1792025414563783,2
20.0,-0.347618527710438,0.1786279850807659,2
20.5,-0.3500482067465785,0.17609788869123272,2
21.0,-0.352001339197159,0.17499304066765622,2
21.5,-0.3529154062271115,0.1733909546620595,2
22.0,-0.353602893650532,0.17205408823743093,2
22.5,-0.354110725224018,0.17076144439360125,2
23.0,-0.35419274121522903,0.17019241979185606,2
23.5,-0.3548021391034125,0.1693085582317339,2
24.0,-0.3565286844968795,0.16673417604112845,2
24.5,-0.3580247834324835,0.1649056455551948,2
25.0,-0.359392002224922,0.16404385840698085,2
25.5,-0.359489656984806,0.16383945672841477,2
26.0,-0.3599662110209465,0.16408258082404995,2
26.5,-0.36068105697631847,0.1635356306342116,2
27.0,-0.361149810254574,0.1632041562073857,2
27.5,-0.36147401481866803,0.16309923162801804,2
28.0,-0.36205995082855247,0.16272354515710383,2
28.5,-0.362583428621292,0.16231476287339633,2
29.0,-0.364446684718132,0.1602321395745038,2
29.5,-0.364954501390457,0.16113810715667012,2
30.0,-0.3647552728652955,0.1627456722525727,2
30.5,-0.365126393735409,0.164110144862976,2
31.0,-0.364884190261364,0.16483936963591161,2
31.5,-0.365989692509174,0.1667894410962378,2
32.0,-0.36725919693708453,0.16870638513363478,2
32.5,-0.3671185821294785,0.16864009867763963,2
33.0,-0.36754434555769,0.1692532826399118,2
33.5,-0.36807952076196704,0.1698664982123214,2
34.0,-0.36933343112468753,0.16988305138707366,2
34.5,-0.37087641656398795,0.1684080802765868,2
35.0,-0.3709428161382675,0.1691206991912081,2
35.5,-0.3713100254535675,0.16994932730635753,2
36.0,-0.37148188054561604,0.1707779975683542,2
36.5,-0.3715014159679415,0.17103764322860573,2
37.0,-0.371243596076965,0.17087192182026079,2
37.5,-0.37162642180919647,0.17150165895728595,2
38.0,-0.37176313996315,0.17158454073488277,2
38.5,-0.3715795427560805,0.17123647098645595,2
39.0,-0.3720053136348725,0.17125309791819354,2
39.5,-0.3726420402526855,0.1709603037615874,2
40.0,-0.3718803226947785,0.17235793540505812,2
40.5,-0.36915764957666397,0.17598735858101325,2
41.0,-0.367895908653736,0.17748445678696823,2
41.5,-0.3664310723543165,0.17821923440719506,2
42.0,-0.3654037192463875,0.1791527976384234,2
42.5,-0.3646928146481515,0.179097585266874,2
43.0,-0.3636263608932495,0.1795892387914656,2
43.5,-0.363169334828854,0.1797383648782096,2
44.0,-0.3627357482910155,0.17950085685013825,2
44.5,-0.3618646636605265,0.1792080521568208,2
45.0,-0.361208401620388,0.17863352739134508,2
45.5,-0.3602787032723425,0.17810321466995632,2
46.0,-0.36029043048620246,0.17653979839786946,2
46.5,-0.362759195268154,0.17034155641531204,2
47.0,-0.3634545132517815,0.16670660146548902,2
47.5,-0.363966226577759,0.1647012438766294,2
48.0,-0.363970145583153,0.16437534337051873,2
48.5,-0.36368108540773403,0.1642869298190547,2
49.0,-0.363485746085644,0.16372348967473668,2
49.5,-0.363204501569271,0.16318211340561417,2
50.0,-0.363509200513363,0.16334779266711047,2
50.5,-0.3629271760582925,0.16252468578911697,2
51.0,-0.36245839297771454,0.16225952942842362,2
51.5,-0.36252873390913,0.16224847641740117,2
52.0,-0.362763099372387,0.1621380095274543,2
52.5,-0.3630873039364815,0.1623976551877058,2
53.0,-0.363013096153736,0.16219324297242776,2
53.5,-0.363208420574665,0.16281195870856716,2
54.0,-0.36197402328252803,0.16406045372858183,2
54.5,-0.361130267381668,0.1650327288401673,2
55.0,-0.360224016010761,0.16561830661666546,2
55.5,-0.3595716804265975,0.16620940563031816,2
56.0,-0.3595130667090415,0.16653531667314156,2
56.5,-0.3582708910107615,0.16819263612371094,2
57.0,-0.3576107323169705,0.16941351442123823,2
57.5,-0.357024796307087,0.1696344376644199,2
58.0,-0.356645904481411,0.1699382953687591,2
58.5,-0.35604041069746,0.17037472598508996,2
59.0,-0.3551146313548085,0.1699714649385377,2
59.5,-0.3551888316869735,0.16994382714262626,2
60.0,-0.3554115071892735,0.17083322047661564,2
60.5,-0.355056032538414,0.17204307737325716,2
61.0,-0.35511071979999553,0.17273913257641416,2
61.5,-0.3547552302479745,0.17348488945067878,2
62.0,-0.354985721409321,0.17495986056116564,2
62.5,-0.3562318161129955,0.17757288087514428,2
63.0,-0.3546771407127385,0.177583933886166,2
63.5,-0.3543099462985995,0.17974943896265602,2
64.0,-0.3543763533234595,0.18229615174721484,2
